HH,DD,FH,T,SQ,Q,EUR
5,210,30,10,0,0,69.41
6,210,30,6,0,0,100.0
7,210,30,3,0,1,132.35
8,210,30,7,5,14,136.47
9,200,30,10,2,29,143.8
10,220,30,20,0,42,142.88
11,200,20,29,0,41,106.89
12,190,10,38,0,46,100.44
13,190,20,39,0,33,100.59
14,150,20,35,0,12,110.28
15,140,20,30,0,2,127.8
16,130,20,29,0,0,135.41
17,80,20,26,0,0,153.67
18,70,30,28,0,0,151.86
19,60,30,24,0,0,137.6
20,50,30,3,0,0,129.58
21,40,30,3,0,0,118.7
22,60,40,7,0,0,113.19
23,70,30,8,0,0,100.13
0,10,10,8,0,0,93.56
1,10,30,9,0,0,91.23
2,20,20,5,0,0,87.54
3,10,30,7,0,0,78.21
4,20,30,6,0,0,76.69
5,360,30,8,0,0,84.45
6,10,30,11,0,0,89.37
7,350,30,3,0,0,113.71
8,330,20,2,0,1,126.29
9,260,20,3,0,9,123.71
10,270,20,6,0,36,117.4
11,270,30,24,10,96,110.3
12,280,40,23,3,49,108.11
13,250,30,25,0,31,98.97
14,260,30,26,8,29,98.13
15,240,30,21,2,10,103.68
16,260,40,28,0,0,115.01
17,260,30,21,0,0,131.25
18,250,30,22,0,0,135.64
19,250,30,19,0,0,143.18
20,250,30,19,0,0,119.98
21,240,30,12,0,0,105.39
22,240,30,19,0,0,101.5
23,240,40,26,0,0,100.0
0,260,40,22,0,0,87.68
1,260,40,21,0,0,80.24
2,250,30,18,0,0,71.7
3,230,30,13,0,0,69.51
4,230,30,9,0,0,69.98
5,210,30,8,0,0,84.48
6,210,30,3,0,0,100.93
7,210,30,2,0,1,125.33
8,220,30,6,7,20,139.92
9,220,30,16,10,58,137.07
10,230,30,30,10,90,123.57
11,250,30,38,10,94,113.59
12,260,30,45,10,92,107.43
13,260,30,40,8,60,105.01
14,260,30,38,5,23,110.01
15,250,20,27,2,6,128.69
16,240,30,21,0,0,135.21
17,270,30,8,0,0,142.63
18,260,20,12,0,0,144.2
19,240,20,13,0,0,141.16
20,230,20,2,0,0,134.82
21,340,20,7,0,0,122.51
22,210,10,-1,0,0,119.78
23,230,10,-16,0,0,111.86
0,240,10,-24,0,0,114.57
1,190,10,-22,0,0,101.36
2,0,10,-45,0,0,96.41
3,240,10,-30,0,0,92.51
4,280,0,-42,0,0,91.51
5,220,10,-41,0,0,93.35
6,210,10,-47,0,0,98.37
7,200,10,-36,0,1,107.8
8,210,20,-30,0,10,120.0
9,200,10,-17,0,25,126.28
10,220,10,-4,0,38,122.94
11,210,20,-7,0,36,101.25
12,220,20,-6,0,34,97.4
13,210,30,-5,0,30,93.15
14,220,20,-4,0,14,95.61
15,210,20,-4,0,3,105.1
16,230,20,-5,0,0,112.71
17,240,20,-5,0,0,120.39
18,240,20,-2,0,0,123.71
19,270,30,2,0,0,127.2
20,270,10,-4,0,0,123.9
21,270,20,-24,0,0,122.84
22,290,20,-5,0,0,119.0
23,270,20,3,0,0,105.99
0,990,10,3,0,0,125.53
1,990,10,0,0,0,106.58
2,300,0,-2,0,0,91.62
3,340,20,17,0,0,86.75
4,260,10,-3,0,0,85.0
5,0,10,1,0,0,86.64
6,270,10,4,0,0,92.39
7,270,10,-4,0,1,101.75
8,0,10,4,0,7,114.83
