HH,DD,FH,T,SQ,Q,EUR
17,200,30,45,0,0,175.23
18,200,30,39,0,0,189.9
19,180,20,36,0,0,189.63
20,190,20,34,0,0,170.0
21,180,10,32,0,0,155.42
22,190,20,31,0,0,143.7
23,200,10,31,0,0,137.73
0,200,10,33,0,0,133.67
1,990,10,34,0,0,131.92
2,40,10,33,0,0,126.6
3,10,10,27,0,0,125.01
4,20,20,25,0,0,125.01
5,30,30,21,0,0,128.31
6,30,20,23,0,0,142.42
7,20,20,27,0,4,180.09
8,10,20,35,0,19,213.41
9,20,30,41,0,25,178.06
10,30,30,43,0,35,158.06
11,60,40,48,1,47,136.42
12,50,40,58,3,68,128.51
13,70,40,61,3,48,121.4
14,50,40,60,0,29,132.91
15,50,40,58,3,18,128.8
16,60,30,55,0,2,127.82
17,50,40,53,0,0,152.23
18,50,40,49,0,0,170.56
19,50,40,45,0,0,163.21
20,60,50,45,0,0,142.86
21,60,50,44,0,0,133.03
22,70,60,42,0,0,134.99
23,70,60,41,0,0,121.95
0,60,70,38,0,0,126.05
1,50,60,29,0,0,112.7
2,50,50,18,0,0,108.82
3,50,60,23,0,0,105.0
4,50,70,27,0,0,105.62
5,50,60,25,0,0,106.21
6,60,70,27,0,0,115.84
7,70,80,30,0,3,143.53
8,70,80,32,0,9,164.24
9,70,90,36,0,22,150.36
10,70,90,41,0,44,139.11
11,70,90,42,0,36,132.98
12,80,90,44,0,20,130.49
13,70,90,43,0,18,120.2
14,90,90,42,0,17,126.57
15,90,100,41,0,11,121.89
16,80,90,37,0,3,128.72
17,90,80,34,0,0,144.05
18,90,80,29,0,0,150.01
19,80,70,30,0,0,153.34
20,90,60,27,0,0,154.72
21,90,60,24,0,0,153.28
22,90,60,27,0,0,155.23
23,90,60,27,0,0,133.65
0,90,50,28,0,0,124.26
1,90,50,29,0,0,107.17
2,90,60,29,0,0,91.87
3,100,50,30,0,0,99.33
4,90,50,27,0,0,89.69
5,100,50,32,0,0,90.99
6,110,40,34,0,0,98.7
7,110,40,34,0,1,120.46
8,110,30,38,0,7,124.9
9,120,40,41,0,17,135.5
10,120,40,53,0,37,148.8
11,110,30,73,5,79,158.37
12,90,30,89,2,81,162.41
13,90,40,93,10,111,129.95
14,100,40,90,7,59,117.9
15,90,40,77,10,31,118.0
16,100,30,61,0,4,141.22
17,100,30,68,0,0,150.49
18,100,30,62,0,0,160.49
19,110,30,60,0,0,165.98
20,70,20,33,0,0,162.82
21,80,10,22,0,0,149.0
22,320,10,16,0,0,147.95
23,30,10,11,0,0,143.29
0,350,10,6,0,0,135.0
1,210,10,-7,0,0,136.41
2,0,0,-13,0,0,135.48
3,100,0,-11,0,0,119.3
4,150,10,-9,0,0,116.91
5,150,0,-12,0,0,117.0
6,0,10,-5,0,0,117.0
7,30,10,-7,0,5,133.43
8,10,10,10,0,21,136.77
9,0,10,22,0,44,124.95
10,330,10,34,0,50,124.3
11,10,20,39,0,54,133.0
12,20,20,42,0,60,148.08
13,360,20,44,0,51,136.95
14,20,30,45,0,30,109.9
15,60,30,43,3,20,120.4
16,50,20,38,0,3,142.3
17,70,20,30,0,0,149.06
18,30,20,24,0,0,162.45
19,30,20,23,0,0,178.99
20,50,30,31,0,0,156.98
21,60,40,29,0,0,142.98
22,60,40,27,0,0,143.0
23,70,50,22,0,0,135.44
0,50,40,20,0,0,128.56
1,60,40,18,0,0,134.72
2,60,40,18,0,0,131.35
3,60,50,12,0,0,120.98
4,60,40,7,0,0,120.83
5,60,40,6,0,0,125.74
6,60,50,8,0,0,145.51
7,60,50,7,0,5,167.7
8,70,60,12,0,19,181.36
9,60,60,13,0,21,163.18
10,60,60,16,0,20,169.01
11,60,60,23,0,52,178.77
12,70,70,28,0,45,171.84
13,70,60,29,0,22,150.99
14,70,70,28,0,12,127.4
15,70,70,20,0,4,132.95
16,70,60,14,0,1,135.0
17,70,60,18,0,0,138.69
18,80,60,22,0,0,177.31
19,70,60,25,0,0,224.02
20,80,60,27,0,0,203.75
21,70,50,30,0,0,188.76
22,70,60,22,0,0,186.58
23,70,60,19,0,0,157.9
0,70,60,22,0,0,143.19
1,80,70,24,0,0,147.08
2,90,50,25,0,0,135.6
3,120,30,28,0,0,127.65
4,110,30,32,0,0,119.66
5,170,40,20,0,0,124.04
6,170,50,11,0,0,128.11
7,170,40,11,0,3,143.95
8,170,50,12,0,8,159.06
9,180,50,16,0,16,163.3
10,170,50,19,0,19,196.82
11,160,40,23,0,17,187.31
12,180,30,37,0,16,170.98
13,170,50,41,0,13,153.16
14,170,60,40,0,7,137.66
15,170,50,40,0,4,144.26
16,160,40,40,0,1,145.16
17,170,40,40,0,0,161.16
18,170,40,39,0,0,173.95
19,170,40,37,0,0,202.82
20,170,30,37,0,0,175.98
21,180,30,34,0,0,155.37
22,180,30,34,0,0,146.67
23,170,20,32,0,0,131.5
0,170,20,32,0,0,130.55
1,170,20,31,0,0,127.91
2,170,20,29,0,0,126.82
3,170,20,28,0,0,126.59
4,150,10,28,0,0,128.74
5,160,20,27,0,0,131.42
6,180,20,27,0,0,150.15
7,180,20,26,0,3,163.18
8,190,20,31,0,9,180.0
9,220,20,35,0,17,174.92
10,210,10,39,0,32,163.36
11,220,20,45,0,36,152.82
12,220,20,49,0,40,141.8
13,230,10,50,0,38,142.9
14,230,10,50,0,17,150.08
15,220,10,47,0,11,160.51
16,220,10,42,0,1,172.07
17,200,10,31,0,0,171.82
18,220,20,29,0,0,198.34
19,220,10,30,0,0,193.47
20,210,10,32,0,0,175.64
21,210,20,30,0,0,156.64
22,270,10,28,0,0,151.08
23,270,10,29,0,0,142.51
0,340,20,29,0,0,137.41
1,330,30,24,0,0,133.23
2,330,30,25,0,0,138.44
3,350,40,22,0,0,131.64
4,10,40,18,0,0,132.88
5,10,50,13,0,0,136.03
6,20,50,7,0,0,143.26
7,10,40,6,0,1,172.39
8,360,40,5,0,7,206.31
9,10,50,1,0,8,190.89
10,340,50,-4,0,13,192.36
11,20,50,-6,2,45,176.4
12,30,50,1,0,41,166.48
13,40,40,6,0,42,161.56
14,40,40,5,2,43,159.9
15,20,30,9,10,47,161.31
16,350,20,1,2,8,156.85
17,0,10,-2,0,0,178.04
18,140,10,-1,0,0,194.6
19,130,10,-3,0,0,196.52
20,210,10,-6,0,0,177.07
21,120,10,-8,0,0,162.92
22,250,10,-10,0,0,153.12
23,270,10,-11,0,0,138.98
0,0,10,-24,0,0,136.27
1,0,0,-30,0,0,132.8
2,340,0,-46,0,0,127.47
3,990,10,-49,0,0,123.87
4,0,0,-41,0,0,125.38
5,30,10,-53,0,0,136.17
6,10,10,-32,0,0,151.24
7,80,10,-20,0,6,184.87
8,0,10,-2,8,63,218.54
9,30,20,7,10,114,192.91
10,90,20,21,7,103,172.37
11,110,20,20,6,96,157.95
12,150,20,26,7,85,148.47
13,120,30,32,10,132,143.01
14,140,30,32,8,91,147.06
15,150,30,21,10,48,144.16
16,190,30,10,3,8,162.94
17,160,20,6,0,0,206.47
18,240,10,4,0,0,225.44
19,0,0,5,0,0,210.69
20,230,10,3,0,0,183.55
21,990,10,4,0,0,161.47
22,0,0,-1,0,0,153.0
23,90,10,-9,0,0,140.03
0,70,10,-17,0,0,131.52
1,0,0,-28,0,0,126.69
2,70,10,-35,0,0,117.42
3,120,20,-12,0,0,113.52
4,130,0,-19,0,0,113.01
5,990,10,-14,0,0,115.13
6,0,10,-11,0,0,126.84
7,90,10,-7,0,8,142.79
8,100,10,5,0,25,142.89
9,110,10,20,4,62,136.73
10,120,20,28,4,78,124.59
11,140,30,30,0,64,118.36
12,100,30,30,0,44,112.39
13,100,30,31,5,70,110.01
14,110,30,27,0,34,113.74
15,110,30,24,0,11,121.99
16,90,20,16,0,2,136.01
17,100,20,20,0,0,154.09
18,90,20,14,0,0,167.48
19,120,20,13,0,0,160.52
20,90,20,3,0,0,138.15
21,70,20,11,0,0,126.02
22,70,30,10,0,0,131.16
23,80,40,-6,0,0,124.94
0,80,30,-8,0,0,134.11
1,80,20,-11,0,0,128.9
2,50,20,-9,0,0,123.57
3,50,20,-12,0,0,119.9
4,60,30,-9,0,0,119.57
5,60,40,-10,0,0,120.21
6,60,40,-10,0,0,120.1
7,70,50,-7,0,11,127.8
8,70,50,0,3,46,129.71
9,70,60,8,5,69,130.43
10,80,60,26,10,140,123.81
11,80,70,28,10,147,116.66
12,80,70,36,10,158,121.02
13,80,70,38,10,140,107.08
14,70,70,35,10,106,107.89
15,70,70,27,10,59,120.54
16,70,60,14,3,13,129.51
17,60,40,8,0,0,144.84
18,60,50,3,0,0,160.99
19,70,50,-4,0,0,161.09
20,80,50,-10,0,0,154.25
21,70,40,-20,0,0,139.64
22,60,30,-28,0,0,137.69
23,60,30,-32,0,0,131.51
0,60,30,-40,0,0,128.07
1,60,20,-45,0,0,121.06
2,60,20,-43,0,0,120.34
3,50,20,-45,0,0,122.77
4,60,20,-47,0,0,125.3
5,70,20,-54,0,0,128.76
6,70,20,-55,0,1,148.8
7,80,20,-37,8,36,204.7
8,90,30,-20,10,96,209.79
9,90,30,-1,10,135,171.3
10,40,20,15,10,153,139.67
11,80,30,22,10,164,117.22
12,100,30,29,10,161,109.67
13,90,40,32,10,143,106.81
14,80,40,30,10,106,111.89
15,90,40,20,10,60,128.62
16,80,40,-12,3,9,143.09
17,60,30,-16,0,0,181.75
18,60,30,-13,0,0,235.44
19,70,30,-14,0,0,215.46
20,70,40,-22,0,0,177.95
21,60,20,-39,0,0,155.38
22,70,30,-30,0,0,139.51
23,70,30,-37,0,0,130.0
0,70,30,-43,0,0,133.1
1,70,20,-50,0,0,125.19
2,80,30,-47,0,0,123.73
3,90,30,-50,0,0,116.34
4,90,20,-52,0,0,114.78
5,80,30,-60,0,0,121.45
6,90,30,-57,0,1,132.29
7,90,30,-33,8,28,170.9
8,90,30,-18,10,70,193.8
9,90,40,1,10,117,143.91
10,90,50,14,10,150,125.0
11,120,60,23,10,166,110.66
12,100,60,26,10,166,100.26
13,100,60,33,10,141,91.25
14,100,60,27,10,127,100.29
15,100,60,21,10,66,111.36
16,90,60,3,3,12,126.12
17,90,50,-1,0,0,152.81
18,90,40,-9,0,0,169.68
19,100,40,-10,0,0,156.65
20,100,40,-10,0,0,142.66
21,100,50,-6,0,0,131.31
22,110,50,-5,0,0,122.56
23,100,40,-4,0,0,115.32
0,110,50,-3,0,0,105.48
1,110,50,-7,0,0,100.17
2,100,40,-11,0,0,100.21
3,110,40,-11,0,0,98.07
4,110,40,-12,0,0,95.15
5,110,50,-13,0,0,99.75
6,110,40,-13,0,1,116.76
7,110,40,-7,5,18,149.08
8,120,50,1,0,42,166.96
9,120,50,12,10,88,135.4
10,120,50,24,10,108,118.72
11,100,50,37,10,140,115.19
12,110,50,46,10,144,118.0
13,130,50,51,10,141,105.5
14,130,40,51,5,71,102.84
15,130,40,40,0,27,118.71
16,120,30,35,3,8,115.1
17,120,30,34,0,0,132.16
18,130,30,32,0,0,147.77
19,130,40,28,0,0,147.75
20,130,40,22,0,0,124.22
21,130,30,18,0,0,116.5
22,130,30,14,0,0,116.91
23,130,30,10,0,0,103.38
0,130,20,8,0,0,88.8
1,150,20,6,0,0,87.86
2,170,30,15,0,0,87.3
3,160,20,19,0,0,85.44
4,170,30,22,0,0,83.94
5,170,30,33,0,0,85.08
6,170,30,40,0,1,92.9
7,160,30,54,0,9,111.33
8,190,40,72,0,33,130.43
9,190,50,92,2,58,118.0
10,190,60,100,0,59,99.39
11,200,60,109,4,85,87.58
12,190,60,110,0,60,87.39
13,200,50,115,0,51,84.6
14,200,50,111,0,24,85.08
15,190,50,108,0,14,89.45
16,190,50,102,2,8,95.82
17,170,50,102,0,0,111.69
18,190,50,98,0,0,119.92
19,190,40,100,0,0,128.31
20,200,50,105,0,0,115.42
21,190,40,101,0,0,98.39
22,190,40,98,0,0,94.82
23,190,40,101,0,0,85.56
0,180,40,97,0,0,74.68
1,170,30,86,0,0,70.13
2,170,20,78,0,0,73.05
3,140,20,86,0,0,72.56
4,150,20,82,0,0,69.02
5,160,30,85,0,0,68.78
6,170,30,92,0,1,72.43
7,150,30,102,0,16,100.23
8,170,40,127,2,48,103.33
9,170,50,142,10,109,107.55
10,160,50,151,4,104,88.39
11,170,80,167,10,151,72.61
12,170,80,172,8,127,66.85
13,170,80,174,10,107,63.85
14,170,70,168,3,51,63.63
15,160,50,166,0,26,71.8
16,170,40,157,2,8,88.2
17,160,50,155,0,0,95.76
18,160,50,150,0,0,101.1
19,160,50,143,0,0,88.48
20,170,50,136,0,0,84.09
21,160,40,132,0,0,72.18
22,160,50,129,0,0,71.5
23,170,40,124,0,0,67.51
0,170,40,120,0,0,55.52
1,160,40,111,0,0,50.81
2,170,50,112,0,0,49.24
3,170,40,112,0,0,42.74
4,160,40,106,0,0,41.39
5,160,50,97,0,0,51.88
6,160,50,95,0,0,56.08
7,160,50,93,0,4,66.89
8,170,50,93,0,10,71.3
9,170,50,94,0,18,75.32
10,170,40,102,0,40,70.04
11,180,50,111,1,81,70.47
12,180,60,116,0,48,69.22
13,190,50,116,0,27,60.69
14,210,50,104,1,25,67.13
15,240,30,105,0,19,79.46
16,260,30,97,0,7,92.85
17,250,30,96,0,0,116.91
18,250,40,96,0,0,126.41
19,260,30,96,0,0,133.46
20,250,30,94,0,0,125.0
21,240,20,91,0,0,110.91
22,220,30,90,0,0,109.5
23,220,30,84,0,0,106.58
0,210,30,81,0,0,100.69
1,240,30,80,0,0,90.57
2,240,30,77,0,0,87.59
3,190,20,75,0,0,83.04
4,190,20,77,0,0,83.56
5,190,30,79,0,0,85.06
6,200,30,79,0,1,86.01
7,210,30,78,0,8,100.76
8,200,40,80,1,32,102.59
9,180,40,100,9,116,88.96
10,180,50,108,10,156,73.47
11,200,50,129,10,173,65.35
12,190,60,135,10,155,57.56
13,200,70,141,10,145,48.62
14,200,70,140,10,88,43.71
15,200,60,136,10,75,51.87
16,190,50,109,0,9,69.91
17,180,50,109,0,0,89.12
18,180,50,107,0,0,125.77
19,170,50,108,0,0,119.33
20,190,60,113,0,0,97.11
21,180,70,112,0,0,78.33
22,190,70,111,0,0,75.81
23,190,60,112,0,0,64.5
0,190,60,112,0,0,34.36
1,200,70,118,0,0,40.46
2,190,80,115,0,0,28.11
3,190,70,112,0,0,20.67
4,190,70,112,0,0,27.49
5,190,70,111,0,0,20.61
6,190,70,108,0,0,62.82
7,180,80,106,0,5,93.53
8,190,80,112,0,17,112.34
9,190,80,123,2,60,96.76
10,190,70,126,0,25,84.18
11,210,70,121,0,30,86.28
12,210,70,112,0,24,84.19
13,200,70,103,0,27,85.11
14,210,60,103,0,20,88.21
15,220,50,108,2,21,93.85
16,210,40,107,5,15,104.84
17,200,40,105,0,0,115.6
18,220,40,105,0,0,142.28
19,220,30,92,0,0,153.47
20,200,20,85,0,0,131.77
21,210,30,81,0,0,113.59
22,210,30,79,0,0,111.67
23,200,20,76,0,0,107.25
0,210,20,73,0,0,90.95
1,210,30,67,0,0,90.31
2,200,30,62,0,0,91.99
3,190,30,50,0,0,91.77
4,180,30,66,0,0,92.52
5,190,40,67,0,0,102.31
6,180,30,70,0,2,125.82
7,200,20,82,3,24,142.77
8,200,20,86,2,38,153.26
9,180,30,105,3,82,146.7
10,210,40,107,1,88,131.91
11,190,40,109,0,91,119.37
12,170,10,116,4,104,114.82
13,990,10,116,0,53,112.58
14,90,10,114,0,31,117.99
15,10,20,107,0,21,127.95
16,10,40,96,0,6,122.92
17,360,30,95,0,0,143.71
18,10,30,93,0,0,167.78
19,340,40,83,0,0,161.59
20,340,40,77,0,0,144.92
21,330,50,70,0,0,129.18
22,320,40,68,0,0,124.77
23,290,40,63,0,0,110.61
0,270,20,63,0,0,116.82
1,300,20,57,0,0,109.99
2,270,20,54,0,0,109.82
3,260,20,52,0,0,107.21
4,240,20,47,0,0,108.24
5,230,20,37,0,0,111.55
6,220,20,33,0,1,126.16
7,220,20,47,7,30,146.82
8,230,30,65,7,76,155.69
9,230,30,77,8,108,141.17
10,220,30,93,10,166,127.52
11,230,40,98,10,155,108.08
12,220,50,96,10,163,98.26
13,210,50,103,8,117,92.33
14,200,50,94,4,68,93.83
15,200,60,85,0,34,109.37
16,190,60,79,2,9,117.41
17,160,50,74,0,0,123.42
18,170,50,67,0,0,145.34
19,170,70,65,0,0,157.71
20,170,70,62,0,0,134.35
21,230,50,62,0,0,117.71
22,250,40,65,0,0,121.19
23,250,30,55,0,0,112.71
0,220,20,52,0,0,101.83
1,230,30,52,0,0,103.81
2,230,20,45,0,0,101.25
3,220,20,40,0,0,99.61
4,200,30,45,0,0,100.41
5,220,30,46,0,0,105.45
6,210,30,39,0,2,115.74
7,220,30,49,7,28,148.38
8,210,40,60,3,65,159.23
9,240,40,71,4,93,138.58
10,240,40,69,3,88,123.84
11,240,40,73,1,80,107.27
12,270,50,69,3,99,99.19
13,250,50,62,7,115,103.26
14,260,40,69,0,47,100.9
15,260,40,61,2,32,106.3
16,240,40,52,0,8,120.73
17,240,40,51,0,0,134.47
18,280,30,55,0,0,153.78
19,290,40,56,0,0,155.8
20,310,50,54,0,0,136.88
21,340,50,50,0,0,123.19
22,320,40,48,0,0,115.6
23,310,30,48,0,0,110.31
0,320,30,49,0,0,115.25
1,300,30,47,0,0,110.54
2,290,30,47,0,0,109.38
3,320,40,52,0,0,106.41
4,340,40,50,0,0,109.8
5,340,40,48,0,0,110.27
6,340,40,45,0,2,124.76
7,350,40,50,0,22,143.63
8,360,40,57,5,65,157.01
9,10,50,63,7,85,138.06
10,10,50,66,0,66,120.94
11,350,50,74,10,160,108.47
12,10,50,74,9,138,100.42
13,40,60,72,10,141,95.7
14,20,50,66,10,119,98.07
15,360,50,68,8,67,108.99
16,360,50,56,7,33,122.13
17,350,40,40,0,1,131.95
18,340,30,33,0,0,140.76
19,350,30,30,0,0,154.81
20,360,30,23,0,0,138.34
21,360,20,16,0,0,130.36
22,350,20,10,0,0,124.37
23,360,10,5,0,0,116.04
0,20,20,-10,0,0,125.56
1,360,20,-2,0,0,118.93
2,10,30,23,0,0,116.34
3,320,20,-3,0,0,108.45
4,60,10,7,0,0,107.08
5,80,10,12,0,0,110.27
6,320,10,16,0,2,116.02
7,10,20,39,0,18,132.76
8,10,30,47,0,44,134.79
9,20,40,53,0,56,131.22
10,30,50,57,0,72,116.1
11,50,40,64,2,101,103.32
12,30,40,62,4,119,96.65
13,50,40,57,0,68,88.05
14,80,40,56,0,45,83.5
15,70,40,51,0,23,89.07
16,100,40,37,3,15,106.42
17,110,20,20,0,1,128.6
18,130,20,16,0,0,136.71
19,170,10,-3,0,0,138.25
20,990,10,-12,0,0,131.56
21,0,10,-21,0,0,123.76
22,10,10,-23,0,0,121.1
23,10,10,-8,0,0,119.92
0,0,0,-24,0,0,124.0
1,990,10,-38,0,0,107.87
2,360,10,-43,0,0,99.48
3,0,10,-34,0,0,93.33
4,0,0,-36,0,0,94.72
5,0,10,-34,0,0,94.55
6,990,0,-41,2,4,96.85
7,30,10,-15,10,51,103.33
8,80,10,28,10,114,103.33
9,90,10,54,10,144,89.0
10,120,10,66,10,169,68.3
11,990,10,76,10,194,49.0
12,20,20,82,10,190,27.5
13,30,20,86,10,170,-6.97
14,10,30,81,10,135,-6.73
15,20,40,76,10,87,50.97
16,30,40,50,8,33,79.77
17,40,30,33,0,1,119.17
18,330,10,24,0,0,139.68
19,0,10,10,0,0,146.57
20,10,10,-13,0,0,133.63
21,0,10,-6,0,0,120.8
22,0,0,-17,0,0,120.92
23,0,0,-25,0,0,112.86
0,20,0,-26,0,0,108.59
1,20,10,-31,0,0,104.12
2,20,10,-28,0,0,103.17
3,20,0,-32,0,0,100.0
4,160,10,-27,0,0,103.65
5,0,10,-38,0,0,116.93
6,40,10,-30,3,11,137.62
7,0,10,7,10,63,163.0
8,180,10,38,10,110,148.99
9,990,10,64,10,144,122.72
10,360,10,81,10,177,100.18
11,990,10,92,10,193,67.44
12,990,10,95,10,189,8.21
13,990,20,102,10,168,36.68
14,30,20,98,10,131,62.86
15,40,20,93,10,83,85.12
16,20,20,70,8,31,106.83
17,30,10,49,0,1,136.87
18,0,10,32,0,0,168.75
19,0,10,18,0,0,175.8
20,0,0,2,0,0,150.2
21,30,0,-8,0,0,127.18
22,350,10,-18,0,0,125.43
23,10,10,-15,0,0,123.35
0,40,10,-6,0,0,121.56
1,0,10,-30,0,0,110.07
2,40,0,-33,0,0,104.19
3,0,0,-37,0,0,105.08
4,0,0,-40,0,0,100.97
5,0,0,-39,0,0,110.17
6,0,0,-42,2,5,135.53
7,0,0,-12,10,50,169.51
8,50,10,34,10,106,141.95
9,190,10,79,10,149,120.41
10,180,10,93,10,178,100.2
11,990,10,107,10,197,82.08
12,990,10,111,10,193,19.01
13,990,10,122,10,173,0.49
14,30,10,119,10,135,54.76
15,50,20,112,10,85,81.91
16,180,10,108,8,33,108.17
17,150,10,68,0,1,139.46
18,160,10,34,0,0,170.42
19,160,10,32,0,0,164.18
20,50,10,6,0,0,134.28
21,0,0,6,0,0,115.83
22,990,10,-14,0,0,114.57
23,990,0,-10,0,0,107.82
0,0,10,-18,0,0,92.29
1,190,10,-22,0,0,90.0
2,180,10,-34,0,0,85.08
3,180,10,-30,0,0,81.1
4,190,20,-41,0,0,83.09
5,180,20,-32,0,0,93.18
6,190,40,13,5,17,117.08
7,270,10,45,10,55,140.96
8,190,20,81,10,107,153.0
9,180,40,112,10,155,124.99
10,210,50,130,10,189,91.82
11,210,40,140,10,205,-19.53
12,190,40,147,10,201,-30.3
13,190,40,150,10,178,-12.49
14,200,30,152,10,140,0.13
15,200,30,145,10,90,49.02
16,190,30,116,8,35,84.33
17,170,20,87,0,2,123.97
18,180,10,53,0,0,142.85
19,190,10,32,0,0,146.32
20,190,10,31,0,0,122.22
21,190,10,21,0,0,108.22
22,190,10,7,0,0,108.8
23,200,10,6,0,0,97.87
0,190,10,6,0,0,84.62
1,190,20,-5,0,0,83.96
2,180,20,36,0,0,83.87
3,180,30,37,0,0,82.89
4,170,20,5,0,0,87.89
5,170,10,-3,0,0,92.55
6,170,20,30,3,9,128.94
7,180,20,65,10,52,144.45
8,190,30,99,10,107,108.5
9,190,40,126,10,152,78.77
10,180,40,141,7,151,50.97
11,180,30,163,10,206,0.0
12,180,40,166,10,197,-7.16
13,200,60,171,10,178,-3.43
14,210,60,170,10,143,13.16
15,210,50,164,10,94,63.61
16,220,20,149,8,38,97.12
17,100,10,101,0,2,128.67
18,140,10,63,0,0,136.79
19,160,10,72,0,0,150.0
20,160,10,43,0,0,128.7
21,150,10,50,0,0,101.7
22,170,20,60,0,0,100.65
23,170,20,65,0,0,90.63
0,160,20,61,0,0,84.3
1,180,20,61,0,0,83.06
2,150,20,43,0,0,83.99
3,170,20,45,0,0,82.09
4,180,30,51,0,0,91.23
5,170,30,50,0,0,104.77
6,180,30,58,3,9,113.73
7,170,30,91,10,53,135.9
8,170,30,111,9,94,117.92
9,160,40,134,10,153,82.11
10,170,40,152,10,183,63.94
11,180,40,159,10,199,31.81
12,170,50,164,10,195,12.79
13,180,50,171,10,175,7.53
14,200,50,166,10,126,33.41
15,170,40,158,10,81,69.98
16,130,20,145,8,27,102.71
17,110,20,106,0,3,114.02
18,120,20,82,0,0,162.1
19,110,10,53,0,0,157.08
20,120,20,99,0,0,128.27
21,120,20,55,0,0,109.49
22,120,30,77,0,0,103.6
23,120,20,60,0,0,97.3
0,130,10,43,0,0,113.33
1,100,10,44,0,0,95.37
2,0,10,35,0,0,90.21
3,110,10,16,0,0,90.27
4,100,20,25,0,0,90.23
5,100,10,17,0,0,93.86
6,80,10,31,3,10,106.92
7,120,20,83,10,54,103.82
8,110,30,116,10,106,98.04
9,100,40,145,10,153,72.54
10,130,40,165,10,187,18.05
11,80,30,179,10,201,1.14
12,90,50,185,10,201,-6.09
13,100,50,188,10,180,-0.81
14,100,60,184,10,141,0.07
15,100,50,177,10,92,39.6
16,110,40,162,10,36,76.04
17,80,20,138,0,2,121.47
18,60,20,111,0,0,134.2
19,80,20,99,0,0,112.5
20,60,10,66,0,0,91.33
21,80,20,61,0,0,83.3
22,70,20,48,0,0,82.27
23,80,10,57,0,0,80.54
0,100,20,31,0,0,78.88
1,110,20,46,0,0,80.1
2,80,10,30,0,0,78.75
3,80,10,15,0,0,85.0
4,90,10,19,0,0,86.08
5,50,10,14,0,0,88.45
6,80,20,26,3,11,88.15
7,90,20,86,10,55,83.61
8,100,30,117,10,109,60.39
9,120,30,140,10,154,29.27
10,90,30,150,10,183,10.1
11,100,30,175,10,189,-11.55
12,90,40,182,10,199,-21.88
13,100,40,182,10,170,-13.56
14,80,40,185,10,116,-4.25
15,90,40,178,10,103,17.39
16,70,30,159,10,44,75.19
17,60,30,134,0,4,104.18
18,60,20,111,0,0,122.84
19,70,10,105,0,0,133.52
20,30,10,90,0,0,129.58
21,20,10,79,0,0,120.87
22,10,10,60,0,0,108.52
23,20,10,58,0,0,101.74
0,20,20,54,0,0,93.67
1,20,10,42,0,0,90.16
2,30,10,35,0,0,90.06
3,20,20,33,0,0,89.7
4,20,20,38,0,0,86.83
5,20,20,40,0,0,97.23
6,30,20,41,3,12,130.03
7,30,20,70,10,59,143.72
8,20,20,99,10,114,132.44
9,20,20,130,10,159,97.82
10,10,30,148,10,191,84.03
11,20,40,163,10,204,77.93
12,70,40,170,10,200,76.02
13,20,30,174,10,175,77.32
14,20,30,168,10,137,81.9
15,20,40,158,10,90,89.19
16,20,30,136,10,38,110.73
17,350,30,114,0,3,122.58
18,350,30,96,0,0,147.12
19,350,30,85,0,0,155.76
20,360,30,70,0,0,130.94
21,360,30,59,0,0,115.82
22,350,20,51,0,0,104.92
23,360,10,31,0,0,96.15
0,340,20,24,0,0,100.38
1,360,30,43,0,0,97.45
2,360,30,37,0,0,97.33
3,360,40,39,0,0,97.16
4,360,50,45,0,0,96.42
5,350,50,48,0,0,104.01
6,350,40,53,0,3,102.55
7,350,40,62,0,12,125.3
8,360,40,67,0,24,134.85
9,350,50,74,0,51,123.49
10,340,40,73,0,51,101.25
11,350,40,76,0,61,96.23
12,340,50,72,0,44,94.92
13,340,50,74,0,48,95.87
14,330,40,82,8,117,98.99
15,310,50,80,5,73,105.03
16,340,40,59,10,31,115.77
17,320,30,53,0,4,118.4
18,320,30,38,0,0,147.91
19,290,20,31,0,0,167.91
20,270,20,22,0,0,142.26
21,260,20,7,0,0,128.6
22,250,20,12,0,0,117.24
23,240,20,-3,0,0,106.69
0,250,20,-8,0,0,100.83
1,230,10,-19,0,0,98.48
2,210,10,-23,0,0,96.85
3,220,10,-23,0,0,95.36
4,240,20,5,0,0,97.0
5,220,10,-22,0,0,102.44
6,240,20,22,5,18,118.83
7,250,20,38,3,41,134.92
8,250,20,51,2,66,137.54
9,280,30,65,2,108,125.0
10,280,40,68,5,140,102.66
11,290,50,51,0,79,99.39
12,270,30,71,2,97,97.93
13,310,40,75,1,64,97.0
14,320,50,73,4,86,99.57
15,310,50,75,8,81,107.02
16,320,40,65,7,32,116.52
17,300,30,38,0,5,127.02
18,290,20,28,0,0,171.79
19,260,20,23,0,0,177.97
20,270,20,-9,0,0,147.15
21,280,10,-15,0,0,132.2
22,220,10,-16,0,0,120.0
23,180,10,-17,0,0,109.91
0,290,10,-19,0,0,108.55
1,270,10,0,0,0,102.8
2,0,10,-7,0,0,100.02
3,190,10,-3,0,0,96.69
4,290,10,6,0,0,96.57
5,0,10,10,0,0,104.9
6,30,10,20,5,15,129.39
7,30,10,35,0,34,155.02
8,360,20,48,4,85,156.39
9,50,20,66,5,140,137.12
10,330,30,64,9,214,123.7
11,350,30,67,3,99,114.43
12,340,40,71,2,121,108.46
13,350,30,71,0,76,104.71
14,340,30,60,2,52,105.72
15,10,40,56,0,14,106.74
